"years"	"mink"	"muskrat"
1850	29619	175472
1851	21151	194682
1852	24859	292530
1853	25152	493952
1854	42375	512291
1855	50839	345626
1856	61581	258806
1857	61951	302267
1858	76231	313502
1859	63264	254246
1860	44730	177291
1861	31094	206020
1862	49452	335385
1863	43961	357060
1864	61727	509769
1865	60334	418370
1866	51404	320824
1867	58451	412164
1868	73575	618081
1869	74343	404173
1870	27708	232251
1871	31985	443999
1872	39266	704789
1873	44740	767896
1874	60429	671982
1875	72273	523802
1876	79214	583319
1877	79060	437121
1878	84244	486030
1879	62590	499727
1880	35072	478078
1881	36160	829034
1882	45600	1029296
1883	47508	1069183
1884	52290	1083067
1885	110824	817003
1886	76503	347050
1887	64303	380132
1888	83023	344878
1889	40748	223614
1890	35396	322160
1891	29479	574742
1892	42264	806103
1893	58171	934646
1894	50815	648687
1895	51285	674811
1896	70229	813159
1897	76365	551716
1898	70407	568934
1899	41839	701487
1900	45978	767741
1901	47813	928199
1902	57620	1650214
1903	66549	1488287
1904	54673	924439
1905	55996	1056253
1906	60053	695070
1907	39169	407472
1908	21534	172418
1909	17857	302195
1910	21788	749142
1911	33008	963597
